扁柯盒籍,,,,
[八祸炼扒],,,,
磊丰备盒 : 岿,,,,
磊丰屈怕 : 扁夯,,,,
瘤开/瘤痢 : ,,,,
扁埃 : 2008~2018 01~12,,,,
,,,,
斥岿,瘤痢,乞闭扁柯(∩),弥历扁柯(∩),弥绊扁柯(∩)
02岿 08老,271,-3.5,-16.4,10.6
02岿 08老,272,-1.5,-13.9,11.8
02岿 08老,273,-1.3,-12.8,13.2
02岿 08老,248,-3.2,-15,11.3
02岿 08老,251,-0.1,-9.8,14.5
02岿 08老,252,-0.4,-10.4,12.4
02岿 08老,253,,-5.8,15.4
02岿 08老,260,0.7,-9.2,14.3
02岿 08老,236,-1.4,-12.2,12.6
02岿 08老,238,-2.3,-14.4,13.3
02岿 08老,243,-0.1,-9.9,14.3
02岿 08老,244,-2.9,-14.5,13
02岿 08老,245,-0.3,-9.7,14.5
02岿 08老,247,-1.3,-12.9,14
02岿 08老,216,-4.9,-17.5,8.7
02岿 08老,221,-4.3,-17,10.5
02岿 08老,226,-3.3,-15.2,12.6
02岿 08老,232,-2.5,-13.4,13.2
02岿 08老,235,-0.7,-10.8,10.6
02岿 08老,201,-1.9,-12.5,9.4
02岿 08老,202,-2.4,-14.9,11.9
02岿 08老,203,-2.4,-14.2,11.9
02岿 08老,211,-4.4,-17.6,9.7
02岿 08老,212,-3.9,-16.7,10.7
02岿 08老,175,-1.6,-9.8,11.1
02岿 08老,184,5.1,-0.5,14.8
02岿 08老,185,5.1,-1.2,13.3
02岿 08老,188,4.8,-0.7,15.1
02岿 08老,189,6,-1.1,14
02岿 08老,192,1.1,-10.6,14.4
02岿 08老,162,3,-7.2,12.2
02岿 08老,165,1.5,-6.6,12.8
02岿 08老,168,2.2,-7.3,12
02岿 08老,169,2,-4.1,11.5
02岿 08老,170,1.7,-6.3,14
02岿 08老,146,-0.2,-10.3,14.5
02岿 08老,152,2.3,-8.5,15.1
02岿 08老,155,2.5,-7.2,14.4
02岿 08老,156,1.1,-8.1,14.3
02岿 08老,159,3.8,-5.8,13.6
02岿 08老,135,-1.2,-11.7,14
02岿 08老,136,-1.1,-13.2,12.9
02岿 08老,137,-0.2,-10.4,13.5
02岿 08老,138,2.1,-8.3,14.5
02岿 08老,140,-0.2,-9.7,11.6
02岿 08老,143,1.5,-8.5,14.6
02岿 08老,127,-2.7,-13.9,12.1
02岿 08老,129,-2.4,-13,10.6
02岿 08老,130,2.2,-7.9,15.5
02岿 08老,131,-1,-10.3,13.3
02岿 08老,133,-0.8,-11.1,12.7
02岿 08老,112,-0.7,-8.5,9.7
03岿 08老,114,6.2,-3.9,21
03岿 08老,115,7.6,0.3,15.8
03岿 08老,119,6.8,-3,19.7
03岿 08老,121,5.4,-6,21.8
03岿 08老,101,5.5,-5.5,20.4
03岿 08老,102,5,0,14.1
03岿 08老,105,7.5,-1.2,18.4
03岿 08老,106,7.3,-2.8,18.9
03岿 08老,108,7.3,-1.7,19.8
03岿 08老,90,7.3,-1.3,17.7
03岿 08老,95,4.5,-7.3,19.1
03岿 08老,98,6.2,-5.7,21.6
03岿 08老,99,5.4,-7.2,19.1
03岿 08老,100,0.9,-13.8,15.3
03岿 08老,285,7.6,-5.8,20.5
03岿 08老,288,7.7,-5.3,21.3
03岿 08老,289,7.8,-5.4,20.3
03岿 08老,294,8.6,-1.7,18.2
03岿 08老,295,8.5,-2.3,18.1
03岿 08老,277,7.8,-2,19.1
03岿 08老,278,6,-7.9,20.6
03岿 08老,279,8,-4.1,19.5
03岿 08老,281,6.7,-6.1,19
03岿 08老,284,6.5,-7.1,19.6
03岿 08老,261,6.9,-7.5,18.6
03岿 08老,262,8,-4.8,19.4
03岿 08老,271,4,-8.2,20.2
03岿 08老,272,5.8,-7.1,18.6
03岿 08老,273,6.7,-4.5,19.1
03岿 08老,248,4.9,-7.8,20.4
03岿 08老,251,7,-5.1,20.5
03岿 08老,252,6.3,-6.1,18.5
03岿 08老,253,9.2,-1.2,21
03岿 08老,260,7.2,-6.3,19.5
03岿 08老,238,5.8,-7,21.2
03岿 08老,243,6.7,-4.1,19.6
03岿 08老,244,5.3,-8.1,21.5
03岿 08老,245,7.4,-2.8,21.1
03岿 08老,247,6.6,-7.6,21.3
03岿 08老,216,2.6,-11.3,17.9
03岿 08老,221,4.2,-7.3,21.1
03岿 08老,226,5.6,-7.1,19
03岿 08老,232,6.2,-5.6,20.7
03岿 08老,235,6.4,-3.8,18.2
03岿 08老,236,6.6,-5.4,21.2
03岿 08老,201,6,-4.4,17.4
03岿 08老,202,5.6,-5.7,19.6
03岿 08老,203,5.7,-5.4,20.6
03岿 08老,211,4.2,-6.4,20.5
03岿 08老,212,5.2,-5.8,21.3
03岿 08老,184,10,3.1,18.3
03岿 08老,185,10,4.2,19.5
03岿 08老,188,10.2,0.1,18.6
03岿 08老,189,11.1,1.5,20.2
03岿 08老,192,8.1,-5,20.2
03岿 08老,162,9.1,-0.4,17.6
03岿 08老,165,7.6,-1,18.9
03岿 08老,168,8.7,0.6,16.4
03岿 08老,169,6.5,1.7,14.8
03岿 08老,170,7.9,-1.9,17.5
03岿 08老,175,5.3,-2.2,17
03岿 08老,146,7.7,-3.6,21.1
03岿 08老,152,8.5,-2.2,19.3
03岿 08老,155,9,0,18.4
03岿 08老,156,8.6,-2.2,22.5
03岿 08老,159,9.5,1,18.2
03岿 08老,136,6.7,-5.3,19.2
03岿 08老,137,7.2,-4.3,18.5
03岿 08老,138,8.5,-1.5,18.1
03岿 08老,140,6.7,-2.5,19.6
03岿 08老,143,9.1,-2,19.5
03岿 08老,127,6.2,-4.9,21.9
03岿 08老,129,5.6,-5.9,18.6
03岿 08老,130,7.3,-2.5,19.4
03岿 08老,131,7.7,-3,20.9
03岿 08老,133,7.6,-3.6,21
03岿 08老,135,6.7,-4.9,19
03岿 08老,112,7,-0.5,19.1
04岿 08老,114,13.1,-0.8,28.1
04岿 08老,115,12.7,7.3,23.7
04岿 08老,119,13.3,1,28.1
04岿 08老,121,12.2,-2.1,27.2
04岿 08老,101,12.6,-1.7,29.2
04岿 08老,102,10.8,4.6,22.9
04岿 08老,105,13.8,5.7,29.3
04岿 08老,106,13.1,4.9,28.6
04岿 08老,108,14.1,3.8,28
04岿 08老,90,13.1,4.9,29.5
04岿 08老,95,11.9,-2.2,28.4
04岿 08老,98,13.3,-0.5,30.3
04岿 08老,99,12.3,-1.1,28.6
04岿 08老,100,7.6,-3.4,21.5
04岿 08老,288,13.2,-0.8,28.4
04岿 08老,289,13.1,1.5,27.8
04岿 08老,294,13.5,3.2,23.3
04岿 08老,295,13.8,1.9,25.3
04岿 08老,277,13.1,2.4,30.7
04岿 08老,278,12.5,-2.1,28.5
04岿 08老,279,14,2.6,29
04岿 08老,281,12.6,-1.3,28.6
04岿 08老,284,12.5,-1,28.5
04岿 08老,285,13.6,1.3,29.3
04岿 08老,261,12.7,0,26.1
04岿 08老,262,13.1,0.9,24.5
04岿 08老,271,10.5,-3.8,27.6
04岿 08老,272,12.1,-1.3,26.9
04岿 08老,273,12.9,-0.2,27.6
04岿 08老,248,11.2,-2.2,26.3
04岿 08老,251,13.2,1.8,26.8
04岿 08老,252,12.2,1.2,25.1
04岿 08老,253,15.4,5.2,27.7
04岿 08老,260,12.7,-0.3,25.2
04岿 08老,238,12.3,-1.6,26.5
04岿 08老,243,12.6,1.4,27.4
04岿 08老,244,11.6,-2.7,27.9
04岿 08老,245,13.6,2.5,28
04岿 08老,247,12.7,-1.9,27.9
04岿 08老,216,9.3,-1.3,24.3
04岿 08老,221,10.9,-3.8,27.3
04岿 08老,226,12.2,-2,26.5
04岿 08老,232,12.9,-1.2,28.1
04岿 08老,235,12.1,0.9,24.5
04岿 08老,236,13.2,-0.3,29
04岿 08老,201,12.3,0.9,25.8
04岿 08老,202,12.6,-2.8,29.6
04岿 08老,203,12.5,-2.7,29
04岿 08老,211,11.4,-2.1,26.5
04岿 08老,212,12.3,-2.4,28.9
04岿 08老,184,14.2,6,21.7
04岿 08老,185,14.1,6.8,22.6
04岿 08老,188,14.3,4.6,22.6
04岿 08老,189,15.2,7.2,22.1
04岿 08老,192,13.8,0.6,26.1
04岿 08老,162,13.8,5.3,22
04岿 08老,165,13.2,4.1,24.5
04岿 08老,168,13.5,5.5,20.4
04岿 08老,169,10.5,4.1,18.6
04岿 08老,170,13.2,4.1,24
04岿 08老,175,11.2,2.1,22.2
04岿 08老,146,14,2.7,28.4
04岿 08老,152,13.8,3.2,28.4
04岿 08老,155,14.1,5,24.7
04岿 08老,156,14.5,4.2,27
04岿 08老,159,13.9,6.9,21.3
04岿 08老,136,13.2,-0.3,28.1
04岿 08老,137,13.5,0.8,27.5
04岿 08老,138,13.6,5.3,28.8
04岿 08老,140,12.7,3.3,25.1
04岿 08老,143,14.8,3.4,28.9
04岿 08老,127,12.9,-0.9,28.6
04岿 08老,129,11.8,-1,26.7
04岿 08老,130,12.7,4,31.4
04岿 08老,131,14.4,3.2,28.4
04岿 08老,133,14,2.6,27.9
04岿 08老,135,12.7,0.3,27.1
04岿 08老,112,13.1,4.9,24.8
05岿 08老,288,17.8,3.6,31.9
05岿 08老,289,17.7,3.9,32.2
05岿 08老,294,17.7,7.1,31
05岿 08老,295,17.9,8.4,31.4
05岿 08老,277,17.9,6.3,30.5
05岿 08老,278,17.4,1.6,33.4
05岿 08老,279,18.7,5.5,32.4
05岿 08老,281,17.6,3.7,31.9
05岿 08老,284,17,2.2,32
05岿 08老,285,18.1,4.6,33.2
05岿 08老,261,17,4.3,29.9
05岿 08老,262,17.2,4.8,31.4
05岿 08老,271,15.7,0.2,30.6
05岿 08老,272,17.1,1.8,31.3
05岿 08老,273,17.5,2.8,31.6
05岿 08老,248,15.8,1.5,30.6
05岿 08老,251,17.7,5.6,31.1
05岿 08老,252,16.8,5,29.7
05岿 08老,253,19.6,10.2,32.7
05岿 08老,260,17,3.6,31.3
05岿 08老,238,16.7,2.2,32.7
05岿 08老,243,17.3,6.2,31.8
05岿 08老,244,16.1,0.8,31.5
05岿 08老,245,18.1,6.8,33.7
05岿 08老,247,17.4,2,32
05岿 08老,216,14.6,0.8,30.4
05岿 08老,221,15.7,1.8,30.3
05岿 08老,226,16.7,2.2,32.3
05岿 08老,232,17.6,6.3,29.5
05岿 08老,235,16.6,6.3,26.7
05岿 08老,236,17.6,5,30.7
05岿 08老,201,15.7,6.1,27.9
05岿 08老,202,16.7,4,30.1
05岿 08老,203,16.9,4.5,29.9
05岿 08老,211,15.8,2.6,31.2
05岿 08老,212,16.7,3,30.7
05岿 08老,184,17.2,8.8,26.1
05岿 08老,185,16.8,9.7,25.3
05岿 08老,188,17.6,8.1,26.5
05岿 08老,189,18.6,11.3,27.1
05岿 08老,192,18.2,5.5,32.6
05岿 08老,162,17.5,9.3,26.8
05岿 08老,165,17.2,9.3,26.4
05岿 08老,168,17.5,10.4,28.1
05岿 08老,169,13.9,7.9,22
05岿 08老,170,17.2,7.8,29.7
05岿 08老,175,15.1,6.9,26.7
05岿 08老,146,18.5,7,32.6
05岿 08老,152,17.7,8.9,30.4
05岿 08老,155,18.1,9.7,30.5
05岿 08老,156,18.7,7.4,31.4
05岿 08老,159,17.4,9.6,27.3
05岿 08老,136,18.1,4,32.7
05岿 08老,137,18.2,4.2,31.1
05岿 08老,138,18,9.3,29.7
05岿 08老,140,17.2,7.2,30.1
05岿 08老,143,19.7,8,33.6
05岿 08老,127,17.3,4.2,31.7
05岿 08老,129,15.6,5.3,27.2
05岿 08老,130,16.5,6.6,29
05岿 08老,131,18.9,7.7,31.7
05岿 08老,133,18.1,6.7,31
05岿 08老,135,17,3.3,30.9
05岿 08老,112,16.6,8.9,27.3
05岿 08老,114,17.5,5.1,30.4
05岿 08老,115,15.9,9.1,26
05岿 08老,119,17.6,7.8,29.7
05岿 08老,121,16.7,2.1,31.8
05岿 08老,101,16.8,5.2,30.2
05岿 08老,102,13.6,8.1,22
05岿 08老,105,18.8,7,33
05岿 08老,106,16.9,6.6,29
05岿 08老,108,17.7,8.1,28.5
05岿 08老,90,16.8,6.7,29.8
05岿 08老,95,16.1,4.2,28.9
05岿 08老,98,16.8,4.8,30.7
05岿 08老,99,16,4.2,29.6
05岿 08老,100,12.8,0.8,26.7
06岿 08老,114,21.1,11,30.7
06岿 08老,115,17.2,11.1,27.7
06岿 08老,119,21.7,13.6,30.8
06岿 08老,121,20.3,8.9,31.9
06岿 08老,101,20.5,10.3,30.7
06岿 08老,102,18.3,11.2,26.2
06岿 08老,105,19.8,12.1,32.8
06岿 08老,106,18.9,11.4,32.3
06岿 08老,108,21.5,13.7,29.6
06岿 08老,90,18.7,11.4,31.2
06岿 08老,95,20,9,30.1
06岿 08老,98,20.8,11.2,31.1
06岿 08老,99,20.3,9.2,31.1
06岿 08老,100,14.3,3.3,27.1
06岿 08老,288,20.8,11,32.5
06岿 08老,289,20.2,10.5,32.4
06岿 08老,294,20.1,11.8,31.1
06岿 08老,295,20.4,14,30.8
06岿 08老,277,19.6,11.1,32.8
06岿 08老,278,20.4,7.9,33
06岿 08老,279,21,11.2,32.6
06岿 08老,281,19.6,8.8,33
06岿 08老,284,20,8.9,32.5
06岿 08老,285,20.5,9.6,34.1
06岿 08老,261,20.8,11,29.5
06岿 08老,262,20.2,11,30.2
06岿 08老,271,18.6,6.2,30.8
06岿 08老,272,19.9,9,30.5
06岿 08老,273,20.1,9.5,31.3
06岿 08老,248,19.4,8.8,29.6
06岿 08老,251,21.8,11.7,30.6
06岿 08老,252,21,10.9,28.3
06岿 08老,253,21.5,15,31
06岿 08老,260,20.7,11,30.1
06岿 08老,238,20.6,9.2,31
06岿 08老,243,21.4,12.2,29.3
06岿 08老,244,20.3,8.1,30.9
06岿 08老,245,22.1,12,30.7
06岿 08老,247,21.3,10.2,32.2
06岿 08老,216,15.8,6,29.8
06岿 08老,221,19.6,8.1,31.2
06岿 08老,226,20,9.3,30.4
06岿 08老,232,21.1,12.7,29.4
06岿 08老,235,21,12.5,28.8
06岿 08老,236,21.6,9.9,31.8
06岿 08老,201,20.2,11.7,29.9
06岿 08老,202,21.1,9.8,31.6
06岿 08老,203,20.5,9.7,30.4
06岿 08老,211,18.6,8.5,30.9
06岿 08老,212,20.4,9.4,31.8
06岿 08老,184,20.8,14.4,29
06岿 08老,185,20.1,14,25.6
06岿 08老,188,20.1,11.2,25.8
06岿 08老,189,20.8,15.3,26.4
06岿 08老,192,20.9,10.6,32.2
06岿 08老,162,20,14,28.4
06岿 08老,165,20.7,14.3,26.8
06岿 08老,168,20,15.8,26.3
06岿 08老,169,17.2,12.6,23.4
06岿 08老,170,20,12.5,29.9
06岿 08老,175,17.7,11.7,27
06岿 08老,146,22.3,12.8,31.6
06岿 08老,152,19.8,13.3,32.1
06岿 08老,155,20.7,14.4,30
06岿 08老,156,22.2,14.1,32
06岿 08老,159,19.7,14.1,26.5
06岿 08老,136,20.5,10.2,32.4
06岿 08老,137,20.6,10.7,31.5
06岿 08老,138,19.5,12.9,32.4
06岿 08老,140,21.2,12.6,29
06岿 08老,143,21.1,13.2,33.4
06岿 08老,127,21.4,10.3,31
06岿 08老,129,20.7,11,28.7
06岿 08老,130,18.6,11.7,33
06岿 08老,131,22.1,13.3,30.8
06岿 08老,133,21.1,11.7,29.8
06岿 08老,135,19.4,8.8,31.1
06岿 08老,112,20.7,13.5,28.6
07岿 08老,114,26,19.6,34.6
07岿 08老,115,23.7,15.3,31.5
07岿 08老,119,25.7,20.3,33.3
07岿 08老,121,25.4,18.4,35.2
07岿 08老,127,26.1,19.1,34.5
07岿 08老,101,25.1,19.7,34.2
07岿 08老,102,21.7,17.9,27.3
07岿 08老,104,,19.5,33.7
07岿 08老,105,26.7,17.8,36.8
07岿 08老,106,25.3,17.3,37.1
07岿 08老,108,25.1,20.2,32.9
07岿 08老,90,25.3,16.9,34.7
07岿 08老,95,24.1,18.7,33.3
07岿 08老,98,24.5,18.8,34
07岿 08老,99,24.1,18.8,32.7
07岿 08老,100,21.5,14.2,29.7
07岿 08老,288,27.2,19.2,36.6
07岿 08老,289,26.4,18.9,36.5
07岿 08老,294,26.6,19,34.2
07岿 08老,295,26.9,18.4,34.5
07岿 08老,277,26.7,17.9,37.7
07岿 08老,278,26.9,17.7,35.9
07岿 08老,279,27.2,19.6,35.1
07岿 08老,281,26.6,18.7,35.7
07岿 08老,284,26.4,19,35.5
07岿 08老,285,27.2,19.5,35.9
07岿 08老,261,26.4,19.4,33.7
07岿 08老,262,26.3,17.6,34.8
07岿 08老,271,24.5,17.2,34.5
07岿 08老,272,25.3,19.1,34.9
07岿 08老,273,25.5,18.9,34.8
07岿 08老,248,24.8,18.3,34.1
07岿 08老,251,26.7,20.7,34.6
07岿 08老,252,26.2,19.1,34.8
07岿 08老,253,26.9,19.6,34.6
07岿 08老,254,,21.5,34.9
07岿 08老,260,26.2,18.6,34.5
07岿 08老,238,26.5,20.3,35
07岿 08老,243,26.5,20.6,34
07岿 08老,244,25.4,18.7,34.2
07岿 08老,245,27.1,20.4,35.5
07岿 08老,247,26.4,20,34.9
07岿 08老,221,24.5,17.2,34.3
07岿 08老,226,25.4,18.3,34
07岿 08老,232,25.8,19.2,33.4
07岿 08老,235,25.4,20.2,33.8
07岿 08老,236,26.3,21.2,35.1
07岿 08老,201,23.7,19,30.4
07岿 08老,202,25.6,19.9,35
07岿 08老,203,25,19,34.3
07岿 08老,211,24.3,17.6,33.9
07岿 08老,212,25.3,19.1,35
07岿 08老,216,23.2,14.5,32.3
07岿 08老,184,27.2,19.7,34.8
07岿 08老,185,25.8,18.4,31.7
07岿 08老,188,25.9,19,32.1
07岿 08老,189,27.2,19.3,33.5
07岿 08老,192,27.3,19.5,35.5
07岿 08老,165,25.9,18.9,33.2
07岿 08老,168,25.7,19,31.9
07岿 08老,169,22.7,16.5,30
07岿 08老,170,26.1,18.9,33.9
07岿 08老,175,23.5,16,31.3
07岿 08老,146,27.2,21.5,35.1
07岿 08老,152,26.9,18.7,35.1
07岿 08老,155,26.5,19.4,34.3
07岿 08老,156,27.3,19.7,35.1
07岿 08老,159,25.6,18.6,31.4
07岿 08老,162,25.9,19.3,32.6
07岿 08老,136,26.6,18.6,35
07岿 08老,137,26.2,19.3,35.3
07岿 08老,138,26.4,18.5,35.6
07岿 08老,140,26,20.6,33.8
07岿 08老,143,28.4,19.8,36.2
07岿 08老,129,24.6,19.4,32
07岿 08老,130,24.9,17.1,35.1
07岿 08老,131,27.1,20.3,34.7
07岿 08老,133,26.1,20.3,33.3
07岿 08老,135,25.5,17.9,33.8
07岿 08老,112,24.1,19.6,30.5
08岿 08老,114,24.6,15.2,36.3
08岿 08老,115,22.2,16.2,30.6
08岿 08老,119,25.5,16.9,35.7
08岿 08老,121,23.7,13.9,35
08岿 08老,127,24.8,14.8,35.4
08岿 08老,101,24.1,14.2,35.1
08岿 08老,102,23.3,16.9,30.8
08岿 08老,104,22.8,16.5,33.4
08岿 08老,105,24,17.4,33
08岿 08老,106,23.2,15.8,32.2
08岿 08老,108,25.3,16.3,35.4
08岿 08老,90,23.4,15.5,33
08岿 08老,95,23.6,12.7,35.1
08岿 08老,98,24.5,14.7,35.2
08岿 08老,99,24.2,15.2,34.9
08岿 08老,100,19,8.3,30.1
08岿 08老,288,25.6,16.2,35.6
08岿 08老,289,24.6,15.5,34.5
08岿 08老,294,25.6,18.9,32.2
08岿 08老,295,25.6,17.6,33.7
08岿 08老,278,24.2,13.5,35.5
08岿 08老,279,24.8,15.8,34.5
08岿 08老,281,24.2,15.1,34.2
08岿 08老,284,24,13.9,34.3
08岿 08老,285,25,15,34.4
08岿 08老,261,25.5,16.5,32.8
08岿 08老,262,25.3,16.6,33
08岿 08老,271,21.8,10.5,32.8
08岿 08老,272,23.4,13.1,34.2
08岿 08老,273,23.6,14.4,33.7
08岿 08老,277,23.9,15.6,35.7
08岿 08老,248,22.6,11.8,32.4
08岿 08老,251,25.7,17.2,35.2
08岿 08老,252,25.4,17.6,33.9
08岿 08老,253,25.9,19,34.1
08岿 08老,254,24.7,15.8,34.4
08岿 08老,260,25.4,16.8,32.9
08岿 08老,238,24.4,15,34.9
08岿 08老,243,25.5,17.8,36
08岿 08老,244,23.7,13.9,34.1
08岿 08老,245,26,17.9,35.9
08岿 08老,247,24.6,14.7,33.7
08岿 08老,221,22.9,12.3,34.3
08岿 08老,226,23.6,14.1,33.2
08岿 08老,232,24.6,15.6,34.2
08岿 08老,235,25.1,17.7,35.5
08岿 08老,236,25.1,17.4,35.2
08岿 08老,201,24.5,16.3,34.1
08岿 08老,202,24.7,16,34.8
08岿 08老,203,23.9,14.2,35
08岿 08老,211,22.9,12.7,35.7
08岿 08老,212,24.2,14,36.6
08岿 08老,216,20.2,10.7,32
08岿 08老,184,26.7,21.1,34
08岿 08老,185,26.1,20.6,32.5
08岿 08老,188,25.5,20,32.1
08岿 08老,189,27.1,21.3,33.1
08岿 08老,192,25.9,16,34.4
08岿 08老,165,25.5,19.9,32.2
08岿 08老,168,25.3,19.5,31.3
08岿 08老,169,23.4,18.8,30.9
08岿 08老,170,25.5,18.2,33.3
08岿 08老,175,22.6,16.9,30.7
08岿 08老,146,25.8,17.4,35.3
08岿 08老,152,24.8,17.3,34
08岿 08老,155,25.8,19.3,33.6
08岿 08老,156,26.3,19.2,34.3
08岿 08老,159,25,19.9,31
08岿 08老,162,25.7,20,33
08岿 08老,136,24.3,14.8,34.5
08岿 08老,137,24.2,15,34.5
08岿 08老,138,24.2,18.8,34.2
08岿 08老,140,25.2,18.6,34.5
08岿 08老,143,25.8,17.5,35.2
08岿 08老,129,24.4,17.4,33.5
08岿 08老,130,22.8,16,34.4
08岿 08老,131,25.7,17.4,35.1
08岿 08老,133,24.6,16.3,33.4
08岿 08老,135,23.4,13.7,32.9
08岿 08老,112,24.8,16.9,33.6
09岿 08老,114,21,7.2,32
09岿 08老,115,20,12.7,27.8
09岿 08老,119,22.3,9.7,33
09岿 08老,121,19.9,6,32.6
09岿 08老,127,20.8,6.6,32.4
09岿 08老,102,20.4,12.5,27.5
09岿 08老,104,20.3,9.3,29.7
09岿 08老,105,21.8,12,30.6
09岿 08老,106,20.6,9.3,29.7
09岿 08老,108,22,10.3,32
09岿 08老,90,20.7,9.7,29.8
09岿 08老,95,19.1,4.4,30.7
09岿 08老,98,20.2,6,31.8
09岿 08老,99,19.9,5.4,31
09岿 08老,100,15.2,0.6,26.7
09岿 08老,101,19.7,5.6,30.8
09岿 08老,288,22.3,5.3,34.8
09岿 08老,289,21.5,5.1,33.4
09岿 08老,294,22.8,12.8,30.4
09岿 08老,295,22.8,10.5,31.9
09岿 08老,278,20.7,4.1,33.2
09岿 08老,279,21.4,7.7,31.9
09岿 08老,281,21,4.6,32.4
09岿 08老,284,20.5,2.7,32.1
09岿 08老,285,21.9,4.6,33.6
09岿 08老,261,22.5,6.8,32.3
09岿 08老,262,22.5,6.6,32.2
09岿 08老,271,18.3,3.1,31.3
09岿 08老,272,19.7,5.5,32.1
